"OBJECTID","ADDRESS","LOCATION","STREET","PLACEMENT","RACKS","SPACES","GLOBALID","INSTALL_YR","INSTALL_MO","LAT","LON","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"10593","1675 Post Street","Union Bank","POST","SIDEWALK","1","2",,"2017","1","37.785554","-122.429343","POINT (-122.429342807 37.785553575)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Japantown","5"
"9544","221 07TH ST","Stay in SF","07TH","SIDEWALK","1","2",,"2015","1","37.777749","-122.408831","POINT (-122.408831396 37.777748603)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"11825","22 OAK ST","vacant","OAK","SIDEWALK","3","6",,"0","0","37.775631","-122.419848","POINT (-122.419848194 37.775631113)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","6"
"21195","642 Jones Street",,"Jones Street","SIDEWALK","2","4",,"2023","2",,,"POINT (-122.41317889 37.787295092)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Tenderloin","3"
"11676","3135 16TH ST","Sam's Shoe Service","16TH","SIDEWALK","1","2",,"0","0","37.764645","-122.422652","POINT (-122.422651794 37.764645005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"21286","2545 17th Street",,"17th Street","SIDEWALK","2","4",,"2023","6",,,"POINT (-122.408972749 37.76434798)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"10088","2040 CHESTNUT ST","GapBody","CHESTNUT","SIDEWALK","1","2",,"2004","0","37.800892","-122.437162","POINT (-122.437161787 37.800892003)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Marina","2"
"9428","210 FELL ST","UNKNOWN","FELL","SIDEWALK","1","2",,"2005","0","37.776299","-122.422055","POINT (-122.422054794 37.776299004)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"9325","3901 18TH ST","Urban Bread","18TH","SIDEWALK","1","2",,"2004","0","37.761013","-122.430772","POINT (-122.430771794 37.761013006)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Castro/Upper Market","8"
"20325","1098 Valencia St","Social Security Administration","Valencia St","SIDEWALK","1","2",,"2022","4",,,"POINT (-122.420982145 37.755374862)","2023 Feb 03 03:11:37 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"21240","1609 Vallejo street","Wasabi & Ginger","Vallejo street","SIDEWALK","1","2",,"2023","4",,,"POINT (-122.424217196 37.796552199)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Pacific Heights","2"
"9127","1047 SUTTER ST","Raphael House","SUTTER","SIDEWALK","2","4",,"2012","10","37.78783","-122.417545","POINT (-122.417545192 37.787830212)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Nob Hill","3"
"12071","3430 20TH ST","Mary's Barber and Beauty Shop","20TH","SIDEWALK","1","2",,"2015","11","37.758792","-122.417553","POINT (-122.417553489 37.758791963)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"13457","324 South Van Ness Ave.","Los Yaquis","South Van Ness Ave.","SIDEWALK","1","2",,"2020","2",,,"POINT (-122.418046332 37.767902031)","2020 Jun 19 01:18:28 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"21151","4098 24th St","Bank of America","6th Street","SIDEWALK","1","2",,"2022","11",,,"POINT (-122.434004369 37.751362205)","2023 Nov 13 03:31:03 PM","2024 Jun 17 10:17:16 AM","Noe Valley","8"
"9501","755 STANYAN ST","Kezar Pavilion & Stadium","STANYAN","SIDEWALK","2","4",,"2015","1","37.767522","-122.454003","POINT (-122.454003489 37.767522207)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Golden Gate Park","5"
"9207","1818 San Jose Avenue","Tasty Coffee","SAN JOSE","SIDEWALK","1","2",,"2017","5","37.728606","-122.440425","POINT (-122.440425481 37.728605992)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Outer Mission","11"
"9696","None","Ocean Beach","GREAT HWY","SIDEWALK","3","6",,"2010","1","37.764028","-122.510357","POINT (-122.510356781 37.764028011)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Golden Gate Park","4"
